"Wilaya de Aïn Defla, Algeria"
"Bongolava, Madagascar"
"Diana, Madagascar"
"East, Madagascar"
"Ihorombe, Madagascar"
"Itasy, Madagascar"
"Melaky, Madagascar"
"Menabe, Madagascar"
"Sava, Madagascar"
"Sofia, Madagascar"
"South-East, Madagascar"
"South-West, Madagascar"
"Upper Matsiatra, Madagascar"
"Vakinankaratra, Madagascar"
"Vatovavy-Fitovinany, Madagascar"
"Central Region, Malawi"
"Northern Region, Malawi"
"Southern Region, Malawi"
"District de Bamako, Mali"
"Région de Gao, Mali"
"Région de Kayes, Mali"
"Région de Kidal, Mali"
"Région de Koulikoro, Mali"
"Région de Mopti, Mali"
"Région de Sikasso, Mali"
"Région de Ségou, Mali"
"Région de Tombouctou, Mali"
"District de Nouakchott, Mauritania"
"Wilaya de Dakhlet Nouadhibou, Mauritania"
"Wilaya de l'Adrar, Mauritania"
"Wilaya de l'Assaba, Mauritania"
"Wilaya de l'Inchiri, Mauritania"
"Wilaya du Brakna, Mauritania"
"Wilaya du Gorgol, Mauritania"
"Wilaya du Guidimaka, Mauritania"
"Wilaya du Hodh ech Chargui, Mauritania"
"Wilaya du Hodh el Gharbi, Mauritania"
"Wilaya du Tagant, Mauritania"
"Wilaya du Tiris Zemmour, Mauritania"
"Wilaya du Trarza, Mauritania"
"Agalega Islands, Mauritius"
"Black River District, Mauritius"
"Cargados Carajos, Mauritius"
"Flacq District, Mauritius"
"Grand Port District, Mauritius"
"Moka District, Mauritius"
"Pamplemousses District, Mauritius"
"Plaines Wilhems District, Mauritius"
"Port Louis District, Mauritius"
"Rivière du Rempart District, Mauritius"
"Rodrigues, Mauritius"
"Savanne District, Mauritius"
"Acoua, Mayotte"
"Bandraboua, Mayotte"
"Bandrele, Mayotte"
"Bouéni, Mayotte"
"Chiconi, Mayotte"
"Chirongui, Mayotte"
"Dembeni, Mayotte"
"Dzaoudzi, Mayotte"
"Kani-Kéli, Mayotte"
"Koungou, Mayotte"
"M'Tsangamouji, Mayotte"
"Mamoudzou, Mayotte"
"Mtsamboro, Mayotte"
"Ouangani, Mayotte"
"Pamandzi, Mayotte"
"Sada, Mayotte"
"Tsingoni, Mayotte"
"Laâyoune-Boujdour-Sakia El Hamra, Morocco"
"Oued ed Dahab-Lagouira, Morocco"
"Région de Chaouia-Ouardigha, Morocco"
"Région de Doukkala-Abda, Morocco"
"Région de Fès-Boulemane, Morocco"
"Région de Gharb-Chrarda-Beni Hssen, Morocco"
"Région de Guelmim-Es Smara, Morocco"
"Région de Marrakech-Tensift-Al Haouz, Morocco"
"Région de Meknès-Tafilalet, Morocco"
"Région de Rabat-Salé-Zemmour-Zaër, Morocco"
"Région de Souss-Massa-Drâa, Morocco"
"Région de Tadla-Azilal, Morocco"
"Région de Tanger-Tétouan, Morocco"
"Région de Taza-Al Hoceima-Taounate, Morocco"
"Région de l’ Oriental, Morocco"
"Région du Grand Casablanca, Morocco"
"Cidade de Maputo, Mozambique"
"Maputo, Mozambique"
"Province of Tete, Mozambique"
"Província de Cabo Delgado, Mozambique"
"Província de Gaza, Mozambique"
"Província de Inhambane, Mozambique"
"Província de Manica, Mozambique"
"Província de Nampula, Mozambique"
"Província de Niassa, Mozambique"
"Província de Sofala, Mozambique"
"Província de Zambézia, Mozambique"
"Caprivi, Namibia"
"Erongo, Namibia"
"Hardap, Namibia"
"Karas, Namibia"
"Khomas, Namibia"
"Kunene, Namibia"
"Ohangwena, Namibia"
"Okavango, Namibia"
"Omaheke, Namibia"
"Omusati, Namibia"
"Oshana, Namibia"
"Oshikoto, Namibia"
"Otjozondjupa, Namibia"
"Agadez, Niger"
"Diffa, Niger"
"Dosso, Niger"
"Maradi, Niger"
"Niamey, Niger"
"Tahoua, Niger"
"Tillabéri, Niger"
"Zinder, Niger"
"Abia State, Nigeria"
"Abuja Federal Capital Territory, Nigeria"
"Adamawa State, Nigeria"
"Akwa Ibom State, Nigeria"
"Bauchi, Nigeria"
"Bayelsa State, Nigeria"
"Benue State, Nigeria"
"Borno State, Nigeria"
"Cross River State, Nigeria"
"Delta State, Nigeria"
"Ebonyi State, Nigeria"
"Edo, Nigeria"
"Ekiti State, Nigeria"
"Enugu State, Nigeria"
"Gombe State, Nigeria"
"Imo State, Nigeria"
"Jigawa State, Nigeria"
"Kaduna State, Nigeria"
"Kano State, Nigeria"
"Katsina State, Nigeria"
"Kebbi State, Nigeria"
"Kogi State, Nigeria"
"Kwara State, Nigeria"
"Lagos, Nigeria"
"Nassarawa State, Nigeria"
"Niger State, Nigeria"
"Ogun State, Nigeria"
"Ondo State, Nigeria"
"Osun State, Nigeria"
"Oyo State, Nigeria"
"Plateau State, Nigeria"
"Rivers State, Nigeria"
"Sokoto State, Nigeria"
"Taraba State, Nigeria"
"Udi State, Nigeria"
"Yobe State, Nigeria"
"Zamfara State, Nigeria"
"Commune de Brazzaville, Republic of the Congo"
"Pointe-Noire, Republic of the Congo"
"Région de la Bouenza, Republic of the Congo"
"Région de la Cuvette, Republic of the Congo"
"Région de la Cuvette-Ouest, Republic of the Congo"
"Région de la Likouala, Republic of the Congo"
"Région de la Lékoumou, Republic of the Congo"
"Région de la Sangha, Republic of the Congo"
"Région des Plateaux, Republic of the Congo"
"Région du Kouilou, Republic of the Congo"
"Région du Niari, Republic of the Congo"
"Région du Pool, Republic of the Congo"
"Eastern Province, Rwanda"
"Kigali City, Rwanda"
"Northern Province, Rwanda"
"Southern Province, Rwanda"
"Western Province, Rwanda"
"Réunion, Réunion"
"Ascension, Saint Helena"
"Saint Helena, Saint Helena"
"Tristan da Cunha, Saint Helena"
"Kolda, Senegal"
"Région de Dakar, Senegal"
"Région de Diourbel, Senegal"
"Région de Fatick, Senegal"
"Région de Kaffrine, Senegal"
"Région de Kaolack, Senegal"
"Région de Kédougou, Senegal"
"Région de Louga, Senegal"
"Région de Matam, Senegal"
"Région de Saint-Louis, Senegal"
"Région de Sédhiou, Senegal"
"Région de Tambacounda, Senegal"
"Région de Thiès, Senegal"
"Région de Ziguinchor, Senegal"
"Anse Boileau, Seychelles"
"Anse Etoile, Seychelles"
"Anse Royale, Seychelles"
"Anse aux Pins, Seychelles"
"Au Cap, Seychelles"
"Baie Lazare, Seychelles"
"Baie Sainte Anne, Seychelles"
"Beau Vallon, Seychelles"
"Bel Air, Seychelles"
"Bel Ombre, Seychelles"
"Cascade, Seychelles"
"English River, Seychelles"
"Glacis, Seychelles"
"Grand Anse Mahe, Seychelles"
"Grand Anse Praslin, Seychelles"
"Inner Islands, Seychelles"
"Les Mamelles, Seychelles"
"Mont Buxton, Seychelles"
"Mont Fleuri, Seychelles"
"Plaisance, Seychelles"
"Pointe Larue, Seychelles"
"Port Glaud, Seychelles"
"Roche Caiman, Seychelles"
"Saint Louis, Seychelles"
"Takamaka, Seychelles"
"Eastern Province, Sierra Leone"
"Northern Province, Sierra Leone"
"Southern Province, Sierra Leone"
"Western Area, Sierra Leone"
"Gobolka Awdal, Somalia"
"Gobolka Bakool, Somalia"
"Gobolka Banaadir, Somalia"
"Gobolka Bari, Somalia"
"Gobolka Bay, Somalia"
"Gobolka Galguduud, Somalia"
"Gobolka Gedo, Somalia"
"Gobolka Hiiraan, Somalia"
"Gobolka Mudug, Somalia"
"Gobolka Nugaal, Somalia"
"Gobolka Sanaag, Somalia"
"Gobolka Shabeellaha Hoose, Somalia"
"Gobolka Sool, Somalia"
"Gobolka Togdheer, Somalia"
"Gobolka Woqooyi Galbeed, Somalia"
"Lower Juba, Somalia"
"Middle Juba, Somalia"
"Middle Shabele, Somalia"
"Free State, South Africa"
"Gauteng, South Africa"
"KwaZulu-Natal, South Africa"
"Limpopo Province, South Africa"
"Mpumalanga, South Africa"
"Northern Cape, South Africa"
"Province of Eastern Cape, South Africa"
"Province of North-West, South Africa"
"Province of the Western Cape, South Africa"
"Central Equatoria, South Sudan"
"Eastern Equatoria, South Sudan"
"Jonglei, South Sudan"
"Lakes, South Sudan"
"Northern Bahr el Ghazal State, South Sudan"
"Unity State, South Sudan"
"Upper Nile, South Sudan"
"Warrap, South Sudan"
"Western Bahr al Ghazal, South Sudan"
"Western Equatoria State, South Sudan"
"Al Jazirah State, Sudan"
"Al Qadarif State, Sudan"
"Blue Nile, Sudan"
"Kassala State, Sudan"
"Khartoum State, Sudan"
"Nile, Sudan"
"Northern Darfur State, Sudan"
"Northern Kordofan State, Sudan"
"Northern State, Sudan"
"Red Sea State, Sudan"
"Sinnar State, Sudan"
"Southern Darfur State, Sudan"
"Southern Kordofan State, Sudan"
"Western Darfur State, Sudan"
"White Nile State, Sudan"
"Hhohho District, Swaziland"
"Lubombo District, Swaziland"
"Manzini District, Swaziland"
"Shiselweni District, Swaziland"
"Príncipe, São Tomé and Príncipe"
"São Tomé, São Tomé and Príncipe"
"Arusha Region, Tanzania"
"Dar es Salaam Region, Tanzania"
"Dodoma Region, Tanzania"
"Iringa Region, Tanzania"
"Kagera Region, Tanzania"
"Kigoma Region, Tanzania"
"Kilimanjaro Region, Tanzania"
"Lindi Region, Tanzania"
"Manyara Region, Tanzania"
"Mara Region, Tanzania"
"Mbeya Region, Tanzania"
"Morogoro Region, Tanzania"
"Mtwara Region, Tanzania"
"Mwanza Region, Tanzania"
"Pemba North Region, Tanzania"
"Pemba South Region, Tanzania"
"Pwani, Tanzania"
"Rukwa Region, Tanzania"
"Ruvuma Region, Tanzania"
"Shinyanga Region, Tanzania"
"Singida Region, Tanzania"
"Tabora Region, Tanzania"
"Tanga Region, Tanzania"
"Zanzibar Central/South Region, Tanzania"
"Zanzibar North Region, Tanzania"
"Zanzibar Urban/West Region, Tanzania"
"Région Centrale, Togo"
"Région Maritime, Togo"
"Région de la Kara, Togo"
"Région des Plateaux, Togo"
"Région des Savanes, Togo"
"Gouvernorat de Ariana, Tunisia"
"Gouvernorat de Ben Arous, Tunisia"
"Gouvernorat de Bizerte, Tunisia"
"Gouvernorat de Béja, Tunisia"
"Gouvernorat de Gabès, Tunisia"
"Gouvernorat de Gafsa, Tunisia"
"Gouvernorat de Jendouba, Tunisia"
"Gouvernorat de Kairouan, Tunisia"
"Gouvernorat de Kasserine, Tunisia"
"Gouvernorat de Kebili, Tunisia"
"Gouvernorat de Kef, Tunisia"
"Gouvernorat de Mahdia, Tunisia"
"Gouvernorat de Monastir, Tunisia"
"Gouvernorat de Médenine, Tunisia"
"Gouvernorat de Nabeul, Tunisia"
"Gouvernorat de Sfax, Tunisia"
"Gouvernorat de Sidi Bou Zid, Tunisia"
"Gouvernorat de Siliana, Tunisia"
"Gouvernorat de Sousse, Tunisia"
"Gouvernorat de Tataouine, Tunisia"
"Gouvernorat de Tozeur, Tunisia"
"Gouvernorat de Tunis, Tunisia"
"Gouvernorat de Zaghouan, Tunisia"
"Gouvernorat de la Manouba, Tunisia"
"Abim District, Uganda"
"Adjumani District, Uganda"
"Agago District, Uganda"
"Alebtong District, Uganda"
"Amolatar District, Uganda"
"Amudat District, Uganda"
"Amuria District, Uganda"
"Amuru District, Uganda"
"Apac District, Uganda"
"Arua District, Uganda"
"Budaka District, Uganda"
"Bududa District, Uganda"
"Bugiri District, Uganda"
"Buhweju District, Uganda"
"Buikwe District, Uganda"
"Bukedea, Uganda"
"Bukomansimbi District, Uganda"
"Bukwa District, Uganda"
"Bulambuli District, Uganda"
"Bulisa District, Uganda"
"Bundibugyo District, Uganda"
"Bushenyi District, Uganda"
"Busia District, Uganda"
"Butaleja District, Uganda"
"Butambala District, Uganda"
"Buvuma District, Uganda"
"Buyende District, Uganda"
"Dokolo District, Uganda"
"Gomba District, Uganda"
"Gulu District, Uganda"
"Hoima District, Uganda"
"Ibanda District, Uganda"
"Iganga District, Uganda"
"Isingiro District, Uganda"
"Jinja District, Uganda"
"Kaabong District, Uganda"
"Kabale, Uganda"
"Kabarole District, Uganda"
"Kaberamaido District, Uganda"
"Kalangala District, Uganda"
"Kaliro District, Uganda"
"Kalungu District, Uganda"
"Kampala District, Uganda"
"Kamuli District, Uganda"
"Kamwenge District, Uganda"
"Kanungu District, Uganda"
"Kapchorwa District, Uganda"
"Kasese District, Uganda"
"Katakwi District, Uganda"
"Kayunga District, Uganda"
"Kibale District, Uganda"
"Kiboga District, Uganda"
"Kibuku District, Uganda"
"Kiruhura District, Uganda"
"Kiryandongo District, Uganda"
"Kisoro District, Uganda"
"Kitgum District, Uganda"
"Koboko District, Uganda"
"Kole District, Uganda"
"Kotido District, Uganda"
"Kumi District, Uganda"
"Kween District, Uganda"
"Kyankwanzi District, Uganda"
"Kyegegwa District, Uganda"
"Kyenjojo District, Uganda"
"Lamwo District, Uganda"
"Lira District, Uganda"
"Luuka District, Uganda"
"Luwero District, Uganda"
"Lwengo District, Uganda"
"Lyantonde District, Uganda"
"Manafwa District, Uganda"
"Maracha District, Uganda"
"Masaka District, Uganda"
"Masindi District, Uganda"
"Mayuge District, Uganda"
"Mbale District, Uganda"
"Mbarara District, Uganda"
"Mitoma District, Uganda"
"Mityana District, Uganda"
"Moroto District, Uganda"
"Moyo District, Uganda"
"Mpigi District, Uganda"
"Mubende District, Uganda"
"Mukono District, Uganda"
"Nakapiripirit District, Uganda"
"Nakaseke District, Uganda"
"Nakasongola District, Uganda"
"Namayingo District, Uganda"
"Namutumba District, Uganda"
"Napak District, Uganda"
"Nebbi District, Uganda"
"Ngora District, Uganda"
"Ntoroko District, Uganda"
"Ntungamo District, Uganda"
"Nwoya District, Uganda"
"Otuke District, Uganda"
"Oyam District, Uganda"
"Pader District, Uganda"
"Pallisa District, Uganda"
"Rakai District, Uganda"
"Rubirizi District, Uganda"
"Rukungiri District, Uganda"
"Sembabule District, Uganda"
"Serere District, Uganda"
"Sheema District, Uganda"
"Sironko District, Uganda"
"Soroti District, Uganda"
"Tororo District, Uganda"
"Wakiso District, Uganda"
"Yumbe District, Uganda"
"Zombo District, Uganda"
"Central Province, Zambia"
"Copperbelt, Zambia"
"Eastern Province, Zambia"
"Luapula Province, Zambia"
"Lusaka Province, Zambia"
"North-Western Province, Zambia"
"Northern Province, Zambia"
"Southern Province, Zambia"
"Western Province, Zambia"
"Bulawayo Province, Zimbabwe"
"Harare Province, Zimbabwe"
"Manicaland Province, Zimbabwe"
"Mashonaland Central Province, Zimbabwe"
"Mashonaland East Province, Zimbabwe"
"Mashonaland West, Zimbabwe"
"Masvingo Province, Zimbabwe"
"Matabeleland North Province, Zimbabwe"
"Matabeleland South Province, Zimbabwe"
"Midlands Province, Zimbabwe"
